Date,Valor_Portafolio,Capital_Invertido,Rendimiento_%
2026-03-10,1124.8978842727788,930.9899664663991,20.828142599899667
2026-03-11,1128.9404339723553,930.9899664663991,21.26236314417902
2026-03-12,1111.4781233577069,930.9899664663991,19.386691950758195
2026-03-13,1109.5380403376632,930.9899664663991,19.178302699539152
2026-03-16,1127.9253881929708,930.9899664663991,21.153334495541998
2026-03-17,1138.0985512864495,930.9899664663991,22.246059815890117
2026-03-18,1125.6102441261198,930.9899664663991,20.90465898342686
2026-03-19,1114.4580686049846,930.9899664663991,19.706775448391166
2026-03-20,1083.286080116654,930.9899664663991,16.358512887985178
2026-03-23,1093.0517829330347,930.9899664663991,17.407471863713653
2026-03-24,1085.1399015392155,930.9899664663991,16.557636561637423
2026-03-25,1089.9474832439498,930.9899664663991,17.074031139226875
2026-03-26,1057.3789260134813,930.9899664663991,13.575759578461977
2026-03-27,1042.9393072422242,930.9899664663991,12.024763403276229
2026-03-30,1021.5554213810098,930.9899664663991,9.727865839237193
2026-03-31,1058.8415417074066,930.9899664663991,13.732862849883553
2026-04-01,1076.885893749118,930.9899664663991,15.671052593238066
2026-04-02,1078.347025014009,930.9899664663991,15.827996418361856
2026-04-06,1086.7984674443842,930.9899664663991,16.735787343590935
2026-04-07,1087.6866396693238,930.9899664663991,16.83118818107907
2026-04-08,1117.7734577302401,930.9899664663991,20.062889826061546
2026-04-09,1127.4170371066498,930.9899664663991,21.09873121251733
2026-04-10,1132.1002557376853,930.9899664663991,21.60176763607953
2026-04-13,1143.7751896024545,930.9899664663991,22.855801974288536
2026-04-14,1176.6016113707426,930.9899664663991,26.381771420863977
2026-04-15,1180.5182256821522,930.9899664663991,26.802464924820324
2026-04-16,1181.9910333735115,930.9899664663991,26.96066294460666
2026-04-17,1193.2311832409716,930.9899664663991,28.167996027918218
2026-04-20,1190.2515331565114,930.9899664663991,27.84794423447414
2026-04-21,1179.6169406304625,930.9899664663991,26.70565560526228
2026-04-22,1204.9882263692216,930.9899664663991,29.430849930938695
2026-04-23,1196.204331740304,930.9899664663991,28.487349469568855
2026-04-24,1215.3023555260077,930.9899664663991,30.538716774652784
2026-04-27,1234.6358675737793,930.9899664663991,32.615378472861245
2026-04-28,1218.472764879741,930.9899664663991,30.879258506350137
2026-04-29,1215.7144352421985,930.9899664663991,30.582979304973602
2026-04-30,1218.12880796367,930.9899664663991,30.842313219240715
2026-05-01,1227.2992504880342,930.9899664663991,31.827333773132494
2026-05-04,1238.5807182063277,930.9899664663991,33.039104911882
2026-05-05,1259.7069250434747,930.9899664663991,35.308324516614384
2026-05-06,1292.9008131764374,930.9899664663991,38.8737644599632
2026-05-07,1283.5075941010664,930.9899664663991,37.86481491016049
2026-05-08,1327.0563194211109,930.9899664663991,42.54249425028647
2026-05-11,1352.1827857957328,930.9899664663991,45.24139190543417
2026-05-12,1337.4823393928173,930.9899664663991,43.66237957099284
2026-05-13,1354.2477614559039,930.9899664663991,45.46319619275734
2026-05-14,1357.6813957592808,930.9899664663991,45.83201158573191
2026-05-15,1317.119962555537,930.9899664663991,41.47520488912531
2026-05-18,1300.3386526435684,930.9899664663991,39.67268171310627
2026-05-19,1299.8945287979793,930.9899664663991,39.6249772413519
2026-05-20,1326.9661600573381,930.9899664663991,42.53281000372955
2026-05-21,1338.4286167029961,930.9899664663991,43.76402162345991
2026-05-22,1334.3547228327739,930.9899664663991,43.32643432209673
2026-05-26,1393.130282789485,930.9899664663991,49.63966669556639
2026-05-27,1402.1349164276098,930.9899664663991,50.6068772953006
2026-05-28,1409.7462359579008,930.9899664663991,51.42442848322371
2026-05-29,1428.0934092606367,930.9899664663991,53.395145028362535
2026-06-01,1462.1045293082802,930.9899664663991,57.048365930058594
2026-06-02,1471.8613348935746,930.9899664663991,58.09636923156856
2026-06-03,1455.9421500347448,930.9899664663991,56.386449100071154
